Latitude,Longitude
38.040790557861328,-84.553810119628906
38.043148040771484,-84.556716918945312
38.042556762695312,-84.554939270019531
38.028762817382812,-84.602287292480469
38.027076721191406,-84.603546142578125
38.028762817382812,-84.602287292480469
38.028762817382812,-84.602287292480469
38.028762817382812,-84.602287292480469
38.028762817382812,-84.602287292480469
38.042556762695312,-84.554939270019531
38.042098999023438,-84.555465698242188
38.027076721191406,-84.603546142578125
38.027076721191406,-84.603546142578125
38.027076721191406,-84.603546142578125
38.027076721191406,-84.603546142578125
38.025611877441406,-84.591148376464844
38.025611877441406,-84.591148376464844
38.025611877441406,-84.591148376464844
38.025611877441406,-84.591148376464844
38.028472900390625,-84.583816528320312
38.028472900390625,-84.583816528320312
38.028472900390625,-84.583816528320312
38.028472900390625,-84.583816528320312
38.042098999023438,-84.555465698242188
38.040790557861328,-84.553810119628906
38.042098999023438,-84.555465698242188
38.043148040771484,-84.556716918945312
38.040790557861328,-84.553810119628906
38.040431976318359,-84.552177429199219
38.040790557861328,-84.553810119628906
38.044803619384766,-84.554328918457031
38.040790557861328,-84.553810119628906
38.0374755859375,-84.554435729980469
38.031089782714844,-84.5994873046875
38.031089782714844,-84.5994873046875
38.031089782714844,-84.5994873046875
38.031089782714844,-84.5994873046875
38.040431976318359,-84.552177429199219
38.040168762207031,-84.550956726074219
38.040431976318359,-84.552177429199219
38.036350250244141,-84.551338195800781
38.040431976318359,-84.552177429199219
38.046794891357422,-84.55194091796875
38.040431976318359,-84.552177429199219
38.038158416748047,-84.55242919921875
38.040431976318359,-84.552177429199219
38.044013977050781,-84.551887512207031
38.044803619384766,-84.554328918457031
38.045372009277344,-84.554298400878906
38.044803619384766,-84.554328918457031
38.043148040771484,-84.556716918945312
38.025527954101562,-84.620574951171875
38.025527954101562,-84.620574951171875
38.025527954101562,-84.620574951171875
38.025527954101562,-84.620574951171875
38.040168762207031,-84.550956726074219
38.038528442382812,-84.548004150390625
38.040168762207031,-84.550956726074219
38.043987274169922,-84.550704956054688
38.040168762207031,-84.550956726074219
38.038185119628906,-84.552238464355469
38.0374755859375,-84.554435729980469
38.038158416748047,-84.55242919921875
38.0374755859375,-84.554435729980469
38.036388397216797,-84.5562744140625
38.0374755859375,-84.554435729980469
38.035175323486328,-84.553871154785156
38.038158416748047,-84.55242919921875
